"No.","Time","Source","Destination","Protocol","Length","Info"
"172","0.010581","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13373; Unit: 255, Func:   3: Read Holding Registers"
"174","0.292102","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13374; Unit: 255, Func:   3: Read Holding Registers"
"175","0.019043","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13374; Unit: 255, Func:   3: Read Holding Registers"
"177","0.278635","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13375; Unit: 255, Func:   3: Read Holding Registers"
"178","0.014227","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13375; Unit: 255, Func:   3: Read Holding Registers"
"191","1.086263","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13376; Unit: 255, Func:   3: Read Holding Registers"
"195","0.027842","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13376; Unit: 255, Func:   3: Read Holding Registers"
"202","0.272265","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13377; Unit: 255, Func:   3: Read Holding Registers"
"203","0.036712","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13377; Unit: 255, Func:   3: Read Holding Registers"
"209","0.263608","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13378; Unit: 255, Func:   3: Read Holding Registers"
"210","0.021608","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13378; Unit: 255, Func:   3: Read Holding Registers"
"216","0.278457","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13379; Unit: 255, Func:   3: Read Holding Registers"
"217","0.006263","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13379; Unit: 255, Func:   3: Read Holding Registers"
"228","1.094635","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13380; Unit: 255, Func:   3: Read Holding Registers"
"229","0.014842","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13380; Unit: 255, Func:   3: Read Holding Registers"
"236","0.284901","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13381; Unit: 255, Func:   3: Read Holding Registers"
"237","0.010857","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13381; Unit: 255, Func:   3: Read Holding Registers"
"240","0.289372","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13382; Unit: 255, Func:   3: Read Holding Registers"
"241","0.026882","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13382; Unit: 255, Func:   3: Read Holding Registers"
"243","0.273198","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13383; Unit: 255, Func:   3: Read Holding Registers"
"244","0.019513","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13383; Unit: 255, Func:   3: Read Holding Registers"
"256","1.080741","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13384; Unit: 255, Func:   3: Read Holding Registers"
"257","0.012313","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13384; Unit: 255, Func:   3: Read Holding Registers"
"259","0.287821","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13385; Unit: 255, Func:   3: Read Holding Registers"
"260","0.011538","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13385; Unit: 255, Func:   3: Read Holding Registers"
"262","0.288864","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13386; Unit: 255, Func:   3: Read Holding Registers"
"263","0.012156","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13386; Unit: 255, Func:   3: Read Holding Registers"
"265","0.287715","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13387; Unit: 255, Func:   3: Read Holding Registers"
"266","0.029281","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13387; Unit: 255, Func:   3: Read Holding Registers"
"283","1.071527","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13388; Unit: 255, Func:   3: Read Holding Registers"
"284","0.029524","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13388; Unit: 255, Func:   3: Read Holding Registers"
"287","0.270257","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13389; Unit: 255, Func:   3: Read Holding Registers"
"288","0.014884","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13389; Unit: 255, Func:   3: Read Holding Registers"
"290","0.285579","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13390; Unit: 255, Func:   3: Read Holding Registers"
"291","0.015355","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13390; Unit: 255, Func:   3: Read Holding Registers"
"293","0.284698","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13391; Unit: 255, Func:   3: Read Holding Registers"
"294","0.019279","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13391; Unit: 255, Func:   3: Read Holding Registers"
"311","1.086926","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13392; Unit: 255, Func:   3: Read Holding Registers"
"312","0.003836","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13392; Unit: 255, Func:   3: Read Holding Registers"
"314","0.290593","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13393; Unit: 255, Func:   3: Read Holding Registers"
"315","0.025437","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13393; Unit: 255, Func:   3: Read Holding Registers"
