"No.","Time","Source","Destination","Protocol","Length","Info"
"8705","0.009885","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9370; Unit: 255, Func:   3: Read Holding Registers"
"8946","1.098007","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9371; Unit: 255, Func:   3: Read Holding Registers"
"8949","0.014415","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9371; Unit: 255, Func:   3: Read Holding Registers"
"8997","0.278225","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9372; Unit: 255, Func:   3: Read Holding Registers"
"8998","0.006254","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9372; Unit: 255, Func:   3: Read Holding Registers"
"9055","0.294091","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9373; Unit: 255, Func:   3: Read Holding Registers"
"9057","0.008842","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9373; Unit: 255, Func:   3: Read Holding Registers"
"9119","0.290843","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9374; Unit: 255, Func:   3: Read Holding Registers"
"9122","0.013443","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9374; Unit: 255, Func:   3: Read Holding Registers"
"9360","1.087160","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9375; Unit: 255, Func:   3: Read Holding Registers"
"9362","0.031626","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9375; Unit: 255, Func:   3: Read Holding Registers"
"9422","0.268464","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9376; Unit: 255, Func:   3: Read Holding Registers"
"9427","0.019758","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9376; Unit: 255, Func:   3: Read Holding Registers"
"9488","0.280337","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9377; Unit: 255, Func:   3: Read Holding Registers"
"9489","0.018399","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9377; Unit: 255, Func:   3: Read Holding Registers"
"9548","0.281777","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9378; Unit: 255, Func:   3: Read Holding Registers"
"9551","0.016318","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9378; Unit: 255, Func:   3: Read Holding Registers"
"9787","1.084280","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9379; Unit: 255, Func:   3: Read Holding Registers"
"9790","0.018739","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9379; Unit: 255, Func:   3: Read Holding Registers"
"9847","0.281506","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9380; Unit: 255, Func:   3: Read Holding Registers"
"9849","0.004658","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9380; Unit: 255, Func:   3: Read Holding Registers"
